"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"ARB",2022-06-17,"2022","Plant-4-Arb","Field","2022",4.782,0.0444,95,0.536588104232628,0.1,NA,NA,NA,35,107.702702702703
"ARB",2022-06-17,"2022","Plant-6-Arb","Field","2022",4.664,0.0455,89,0.198393744107258,0.1,NA,NA,NA,27,102.505494505494
"ARB",2022-06-17,"2022","Plant-7-Arb","Field","2022",2.036,0.0161,88,0.868106659225523,0.1,NA,NA,NA,25,126.459627329193
"ARB",2022-06-17,"2022","Plant-8-Arb","Field","2022",1.841,0.0174,238,0.500184298430922,0.15,NA,NA,NA,25,105.804597701149
"ARB",2022-06-17,"2022","Plant-12-Arb","Field","2022",5.748,0.454,153,0.46860423908572,0.3,NA,NA,NA,45,12.6607929515419
"ARB",2022-06-17,"2022","Plant-15-Arb","Field","2022",6.24,0.0665,113,0.342552267021313,0.15,NA,NA,NA,34,93.8345864661654
"PS",2022-06-15,"2022","PS1","Field","2022",4.751,0.039,122,0.614487950715897,0.02,NA,NA,NA,31,121.820512820513
"PS",2022-06-15,"2022","PS2","Field","2022",3.599,0.0315,117,0.803746476306942,0.02,NA,NA,NA,32,114.253968253968
"PS",2022-06-15,"2022","PS3","Field","2022",2.968,0.0284,98,0.26128916121441,0.01,NA,NA,NA,35,104.507042253521
"PS",2022-06-15,"2022","PS4","Field","2022",2.751,0.0286,60,0.361768096452641,0.03,NA,NA,NA,18,96.1888111888112
"PS",2022-06-15,"2022","PS5","Field","2022",2.597,0.0227,120,0.590284505136267,0.03,NA,NA,NA,23,114.405286343612
"CAH",2022-06-21,"2022","Plant-5-CAH","Field","2022",2.885,0.029,92,0.213458512091852,0.05,NA,NA,NA,54,99.4827586206896
"CAH",2022-06-21,"2022","Plant-8-CAH","Field","2022",2.144,0.0192,80,0.193041159069338,0.02,NA,NA,NA,45,111.666666666667
