Well,Sample,Abs,Plate,Rep
G10,389,0.4161,1,3
H10,389,0.4088,1,4
A08,391,0.6513,1,1
B08,391,0.6418,1,2
C08,391,0.5349,1,3
D08,391,0.6565,1,4
A07,393,0.4717,1,1
B07,393,0.4672,1,2
C07,393,0.4583,1,3
D07,393,0.4604,1,4
E01,396,0.3457,2,1
F01,396,0.3387,2,2
G01,396,0.316,2,3
H01,396,0.3647,2,4
E02,400,0.3281,2,1
F02,400,0.2349,2,2
G02,400,0.3381,2,3
H02,400,0.3526,2,4
E11,401,0.4643,1,1
F11,401,0.3641,1,2
G11,401,0.4769,1,3
H11,401,0.475,1,4
A08,403,0.5938,1,1
B08,403,0.5984,1,2
C08,403,0.4677,1,3
D08,403,0.5959,1,4
E09,405,0.5628,1,1
F09,405,0.5891,1,2
G09,405,0.5851,1,3
H09,405,0.5562,1,4
E10,407,0.5741,1,1
F10,407,0.5669,1,2
G10,407,0.5611,1,3
H10,407,0.5316,1,4
A09,409,0.5972,1,1
B09,409,0.6102,1,2
C09,409,0.55,1,3
D09,409,0.5811,1,4
A02,412,0.3384,2,3
B02,412,0.3362,2,4
C02,412,0.2926,2,1
D02,412,0.351,2,2
C10,414,0.3587,2,1
D10,414,0.3404,2,2
E10,414,0.3749,2,3
F10,414,0.343,2,4
E03,416,0.324,2,1
F03,416,0.3276,2,2
G03,416,0.3335,2,3
H03,416,0.3387,2,4
A03,420,0.5672,2,3
B03,420,0.5572,2,4
C03,420,0.6023,2,1
D03,420,0.6008,2,2
A07,421,0.4961,2,1
B07,421,0.5174,2,2
C07,421,0.528,2,3
D07,421,0.4471,2,4
E04,423,0.5829,1,1
F04,423,0.5737,1,2
G04,423,0.5517,1,3
H04,423,0.5505,1,4
A10,425,0.5141,1,1
B10,425,0.4974,1,2
C10,425,0.5076,1,3
D10,425,0.4835,1,4
A04,428,0.3466,2,1
A10,428,0.3404,2,3
B04,428,0.3798,2,2
B10,428,0.3326,2,4
A04,430,0.3369,2,3
B04,430,0.3543,2,4
C04,430,0.3439,2,1
D04,430,0.345,2,2
C07,432,0.3793,2,1
D07,432,0.35,2,2
E07,432,0.3553,2,3
F07,432,0.3629,2,4
C03,434,0.3916,2,1
D03,434,0.3762,2,2
E03,434,0.6156,2,3
F03,434,0.5852,2,4
E04,436,0.4151,2,1
F04,436,0.4055,2,2
G04,436,0.5138,2,3
H04,436,0.5164,2,4
E05,437,0.4849,1,1
F05,437,0.4811,1,2
G05,437,0.4268,1,3
H05,437,0.432,1,4
A08,439,0.6633,2,1
B08,439,0.6715,2,2
C08,439,0.5381,2,3
D08,439,0.6055,2,4
E05,442,0.5705,2,1
F05,442,0.5363,2,2
G05,442,0.5829,2,3
H05,442,0.5881,2,4
A05,444,0.3673,2,3
B05,444,0.3242,2,4
C05,444,0.2495,2,1
D05,444,0.3357,2,2
C12,446,0.3566,2,1
D12,446,0.3443,2,2
E12,446,0.3552,2,3
F12,446,0.3427,2,4
A02,448,0.5137,2,1
A08,448,0.4218,2,3
B02,448,0.5337,2,2
B08,448,0.419,2,4
A06,450,0.4452,2,3
B06,450,0.4511,2,4
C06,450,0.4672,2,1
D06,450,0.4617,2,2
C01,452,0.387,2,1
D01,452,0.3849,2,2
E01,452,0.6568,2,3
F01,452,0.625,2,4
E06,454,0.4187,2,1
F06,454,0.3954,2,2
G06,454,0.4598,2,3
H06,454,0.4703,2,4
C11,456,0.2618,2,1
D11,456,0.3542,2,2
E11,456,0.3407,2,3
F11,456,0.241,2,4
E11,457,0.5159,1,1
F11,457,0.3779,1,2
G11,457,0.4606,1,3
H11,457,0.4413,1,4
E07,460,0.3163,2,1
F07,460,0.3405,2,2
G07,460,0.334,2,3
H07,460,0.3237,2,4
A09,461,0.4914,2,1
B09,461,0.4848,2,2
C09,461,0.4389,2,3
D09,461,0.4401,2,4
A06,464,0.3517,2,1
A12,464,0.4036,2,3
B06,464,0.3702,2,2
B12,464,0.3832,2,4
A07,466,0.4284,2,3
B07,466,0.4333,2,4
C07,466,0.4657,2,1
D07,466,0.4551,2,2
A08,468,0.3969,2,3
B08,468,0.4099,2,4
C08,468,0.4293,2,1
D08,468,0.5085,2,2
C05,470,0.337,2,1
D05,470,0.4118,2,2
E05,470,0.6537,2,3
F05,470,0.6021,2,4
C06,471,0.4488,2,3
D06,471,0.4606,2,4
E10,471,0.5232,2,1
F10,471,0.4959,2,2
A11,473,0.6752,1,1
B11,473,0.6569,1,2
C11,473,0.6323,1,3
D11,473,0.6467,1,4
A09,476,0.3356,2,3
B09,476,0.3335,2,4
C09,476,0.3388,2,1
D09,476,0.3378,2,2
C04,478,0.3704,2,1
D04,478,0.3726,2,2
E04,478,0.3548,2,3
F04,478,0.3299,2,4
A05,480,0.3688,2,1
A11,480,0.3595,2,3
B05,480,0.3561,2,2
B11,480,0.3587,2,4
C09,481,0.364,2,1
D09,481,0.3551,2,2
E09,481,0.3727,2,3
F09,481,0.3322,2,4
A10,482,0.3378,2,3
B10,482,0.3318,2,4
C10,482,0.3375,2,1
D10,482,0.3286,2,2
A11,484,0.8545,2,3
B11,484,0.8144,2,4
C11,484,0.7458,2,1
D11,484,0.8466,2,2
E11,485,0.6188,2,1
F11,485,0.4854,2,2
G11,485,0.5623,2,3
H11,485,0.5953,2,4
E07,487,0.5599,1,1
F07,487,0.5649,1,2
G07,487,0.5271,1,3
H07,487,0.5322,1,4
E08,490,0.3254,2,1
F08,490,0.3164,2,2
G08,490,0.35,2,3
H08,490,0.3745,2,4
E09,492,0.3381,2,1
F09,492,0.3155,2,2
G09,492,0.3352,2,3
H09,492,0.3513,2,4
E10,494,0.3309,2,1
F10,494,0.3078,2,2
G10,494,0.325,2,3
H10,494,0.3086,2,4
A12,496,0.3823,2,3
B12,496,0.3594,2,4
C12,496,0.3566,2,1
D12,496,0.3435,2,2
E11,500,0.4052,2,1
F11,500,0.257,2,2
G11,500,0.3507,2,3
H11,500,0.3822,2,4
C08,502,0.2643,2,1
D08,502,0.3481,2,2
E08,502,0.4743,2,3
F08,502,0.3289,2,4
A01,504,0.3074,2,1
A07,504,0.3529,2,3
B01,504,0.3416,2,2
