"","Pop","Year","image_date","NPP_g"
"556","COL",2015,2015-07-04,0.0174571428571429
"557","COL",2015,2015-07-12,0.012625
"558","COL",2015,2015-07-20,0.0133857142857143
"559","COL",2015,2015-07-28,0.00530625
"560","COL",2016,2016-05-08,0.0507611111111111
"561","COL",2016,2016-05-16,0.044
"562","COL",2016,2016-05-24,0.0340125
"563","COL",2016,2016-06-01,0.0212555555555556
"564","COL",2016,2016-06-09,0.0134764705882353
"565","COL",2016,2016-06-17,0.0181764705882353
"566","COL",2016,2016-06-25,0.00797222222222222
"567","COL",2016,2016-07-11,0.0106
"568","COL",2016,2016-07-19,0.0034875
"569","COL",2016,2016-07-27,0.00946
"570","COL",2017,2017-05-01,0.0423411764705882
"571","COL",2017,2017-05-09,0.0423631578947368
"572","COL",2017,2017-05-17,0.0315117647058824
"573","COL",2017,2017-05-25,0.03454
"574","COL",2017,2017-06-02,0.033425
"575","COL",2017,2017-06-10,0.0319611111111111
"576","COL",2017,2017-06-18,0.0314
"577","COL",2017,2017-06-26,0.0355684210526316
"578","COL",2017,2017-07-04,0.0256
