"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"CAH",2023-05-31,"CAH-12C","Garden","Early","2023",1.0005,0.0065,110.5,0.424912220595975,0.02,NA,1,31,23,153.923076923077
"CAH",2023-06-05,"CAH-12C","Garden","Early","2023",1.0005,0.0065,110.5,0.424912220595975,0.01,NA,NA,NA,NA,153.923076923077
"CAH",2023-06-20,"CAH-14A","Garden","Mid","2023",0.807,0.005875,77,0.504056490220018,0.01,0,0,NA,NA,137.36170212766
"CAH",2023-06-29,"CAH-14A","Garden","Mid","2023",0.807,0.005875,77,0.504056490220018,0.4,NA,NA,39,13,137.36170212766
"CAH",2023-07-03,"CAH-14A","Garden","Mid","2023",0.807,0.005875,77,0.504056490220018,0.05,NA,NA,NA,NA,137.36170212766
"CAH",2023-07-10,"CAH-14A","Garden","Mid","2023",0.807,0.005875,77,0.504056490220018,0.02,NA,NA,NA,NA,137.36170212766
"CAH",2023-07-17,"CAH-14A","Garden","Late","2023",0.807,0.005875,77,0.504056490220018,0.02,NA,NA,53,22,137.36170212766
"CAH",2023-07-28,"CAH-14A","Garden","Late","2023",0.807,0.005875,77,0.504056490220018,0.1,NA,NA,NA,NA,137.36170212766
"CAH",2023-08-03,"CAH-14A","Garden","Late","2023",0.807,0.005875,77,0.504056490220018,0.03,NA,NA,43,21,137.36170212766
"CAH",2023-08-07,"CAH-14A","Garden","Late","2023",0.807,0.005875,77,0.504056490220018,0.04,NA,NA,NA,NA,137.36170212766
"CAH",2023-08-15,"CAH-14A","Garden","Late","2023",0.807,0.005875,77,0.504056490220018,0.15,NA,NA,NA,NA,137.36170212766
"CAH",2023-06-12,"CAH-14B","Garden","Early","2023",0.8195,0.005675,61,0.301896435224753,0.07,NA,NA,25,18,144.405286343612
"CAH",2023-06-20,"CAH-14B","Garden","Mid","2023",0.8195,0.005675,61,0.301896435224753,0.01,0,0,NA,NA,144.405286343612
"CAH",2023-06-29,"CAH-14B","Garden","Mid","2023",0.8195,0.005675,61,0.301896435224753,0.01,NA,NA,42,22,144.405286343612
"CAH",2023-07-03,"CAH-14B","Garden","Mid","2023",0.8195,0.005675,61,0.301896435224753,0.01,NA,NA,NA,NA,144.405286343612
"CAH",2023-07-10,"CAH-14B","Garden","Mid","2023",0.8195,0.005675,61,0.301896435224753,0.01,NA,NA,NA,NA,144.405286343612
"CAH",2023-07-17,"CAH-14B","Garden","Late","2023",0.8195,0.005675,61,0.301896435224753,0.07,NA,NA,33,27,144.405286343612
"CAH",2023-07-28,"CAH-14B","Garden","Late","2023",0.8195,0.005675,61,0.301896435224753,0.02,NA,NA,NA,NA,144.405286343612
"CAH",2023-08-03,"CAH-14B","Garden","Late","2023",0.8195,0.005675,61,0.301896435224753,0.02,NA,NA,34,33,144.405286343612
"CAH",2023-08-07,"CAH-14B","Garden","Late","2023",0.8195,0.005675,61,0.301896435224753,0.04,NA,NA,NA,NA,144.405286343612
"CAH",2023-08-15,"CAH-14B","Garden","Late","2023",0.8195,0.005675,61,0.301896435224753,0.07,NA,NA,NA,NA,144.405286343612
"CAH",2023-05-31,"CAH-5C","Garden","Early","2023",1.14725,0.006,56,0.266701329030331,0.12,NA,NA,27,16,191.208333333333
"CAH",2023-06-05,"CAH-5C","Garden","Early","2023",1.14725,0.006,56,0.266701329030331,0.07,NA,NA,NA,NA,191.208333333333
"CAH",2023-06-12,"CAH-5C","Garden","Early","2023",1.14725,0.006,56,0.266701329030331,0.05,NA,NA,18,16,191.208333333333
"CAH",2023-06-20,"CAH-5C","Garden","Mid","2023",1.14725,0.006,56,0.266701329030331,0.05,0,0,NA,NA,191.208333333333
"CAH",2023-06-29,"CAH-5C","Garden","Mid","2023",1.14725,0.006,56,0.266701329030331,0.01,NA,NA,23,20,191.208333333333
