Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
SHE-6,SHE,6/29/23,26,9,fl,1,0,0,3,13,8,0,12,172,1.184,0.0071,
SHE-7,SHE,6/29/23,18,8,fl,1,0,0,3,10,0,0,4,176,1.015,0.0062,
SHE-8,SHE,6/29/23,29,8,fl,0,1,0,5,21,7,0,4,184,0.957,0.0056,
SHE-9,SHE,6/29/23,20,3,fl,1,0,0,2,10,0,0,12,204,1.655,0.007,
SHE-10,SHE,6/29/23,36,6,fl,0,1,0,7,10,1,0,4,180,1.459,0.0084,
SHE-11,SHE,6/29/23,18,12,fl,1,0,0,5,8,1,0,8,156,1.135,0.0064,
SHE-12,SHE,6/29/23,19,8,fl,1,0,0,4,12,9,0,4,212,0.705,0.0042,
SHE-13,SHE,6/29/23,32,6,fl,1,0,0,11,8,0,0,4,244,1.198,0.0068,
SHE-14,SHE,6/29/23,17,4,fl,0,1,0,6,8,2,0,4,104,0.788,0.0043,
SHE-15,SHE,6/29/23,33,5,fl,0,1,0,0,4,6,0,4,188,0.719,0.0041,
SHE-16,SHE,6/29/23,24,5,fl,1,0,0,3,12,0,0,4,132,0.619,0.0023,
SHE-17,SHE,6/29/23,38,4,fl,1,0,0,8,2,1,0,4,212,1.196,0.0077,
SHE-18,SHE,6/29/23,17,6,fl,1,0,0,1,10,6,0,4,108,1.593,0.0054,
SHE-19,SHE,6/29/23,41,5,fl,2,0,0,6,8,15,0,4,100,0.868,0.0033,
SHE-20,SHE,6/29/23,32,3,fl,1,0,0,6,4,1,0,4,100,1.682,0.0067,
SHE-21,SHE,6/29/23,38,5,fl,1,0,0,2,8,4,0,12,116,0.865,0.0049,
SHE-22,SHE,6/29/23,47,5,fl,0,1,0,2,3,10,0,4,140,0.973,0.005,
SHE-23,SHE,6/29/23,53,6,fl,1,0,0,1,10,14,0,4,148,0.872,0.0058,
SHE-24,SHE,6/29/23,46,6,fr,1,0,1,0,10,20,0,4,132,1.049,0.0052,
SHE-25,SHE,6/29/23,23,4,fl,1,0,0,1,11,1,0,16,128,0.568,0.002,
SHE-26,SHE,6/29/23,19,5,fl,1,0,0,5,14,1,0,4,184,0.969,0.0045,
SHE-27,SHE,6/29/23,26,4,fl,1,0,0,4,15,1,0,4,196,1.029,0.0066,
SHE-28,SHE,6/29/23,30,8,fl,0,1,0,1,3,4,0,4,164,0.978,0.0046,
SHE-29,SHE,6/29/23,24,7,fl,1,0,0,3,5,12,0,4,172,0.917,0.0054,
SHE-30,SHE,6/29/23,50,4,fl,1,0,0,7,6,11,0,4,112,1.75,0.007,
KAN-1,KAN,6/27/23,25,5,fr,1,1,1,12,0.1,8,0,8,228,0.846,0.0073,
KAN-2,KAN,6/27/23,17,5,fr,0,1,0,3,0.1,0,0,8,196,1.282,0.0105,
KAN-3,KAN,6/27/23,21,4,fl,0,2,0,0,0,6,0,4,124,1.848,0.0127,
